OID_;Join_Count;TARGET_FID;JOIN_FID;Site;Lat;Long;Source;Elevation;D_Treeline;Original_D_Temp;Min_DT;Max_DT;Mean_DT;mat_tstat;mat_sig;mat_sig_val;mat_npts;beyer_dt;chelsa_dt;ecoclimate_dt;paleopgem_dt;worldclim30s_dt;worldclim25m_dt;ggc_dt;MapName;Level_01;Level_02;Level_03;Countries;GMTED2010
111;0;111;-1;unknown;35;-79;Bartlein et al. (2011);;;;-16,2118;-15,0302;-15,621;-26,4404;-1;-15,621;1;5,5253198;10,5793321;6,3716037;11,2379996;6,4210002;6,4210002;10,9479997;;;;;;63
112;0;112;-1;unknown;37;-77;Bartlein et al. (2011);;;;-15,2123;-14,7337;-14,973;-62,57;-1;-14,973;1;3,0126662;8,2146668;2,2941823;6,8139996;2,1729998;2,1729998;10,3000006;;;;;;34
113;0;113;-1;unknown;41;-75;Bartlein et al. (2011);;;;-8,8577;-7,9023;-8,38;-17,5424;-1;-8,38;1;-12,7346107;-4,9866668;-11,2906791;-8,1289989;-11,5199996;-11,4199992;3,7070001;;;;;;274
114;1;114;34;unknown;43;-7;Bartlein et al. (2011);;;;-10,9786;-5,6214;-8,3;-3,0986;-1;-8,3;1;1,8709248;4,7750004;4,1968582;1,2749999;4,5;3,9999998;3,6270001;Southwest European Highlands;Eurasia;Europe;Southwest European Highlands;Andorra, Spain, France, Portugal;555
115;1;115;34;unknown;37;-3;Bartlein et al. (2011);;;;-8,299;-5,901;-7,1;-5,9216;-1;-7,1;1;1,5869809;2,204166;2,7823196;1,7830006;3,3;2,6999999;2,4269997;Southwest European Highlands;Eurasia;Europe;Southwest European Highlands;Andorra, Spain, France, Portugal;818
116;1;116;34;unknown;43;-1;Bartlein et al. (2011);;;;-4,9112;-1,9888;-3,45;-2,3611;-1;-3,45;2;-2,3249205;-0,9791663;-1,1389149;-2,8579996;-0,8500002;-1,3500002;-1,2229999;Southwest European Highlands;Eurasia;Europe;Southwest European Highlands;Andorra, Spain, France, Portugal;1232
117;0;117;-1;unknown;43;3;Bartlein et al. (2011);;;;-8,5367;-4,8633;-6,7;-3,6478;-1;-6,7;1;0,7001268;2,9958326;1,4820807;0,7839996;1,2;1,2;2,0269997;;;;;;112
118;0;118;-1;unknown;45;3;Bartlein et al. (2011);;;;-11,5786;-6,2214;-8,9;-3,3226;-1;-8,9;1;1,7725486;4,9083337;3,6606149;1,8500003;3,4;3,4;4,2270001;;;;;;1014
119;0;119;-1;unknown;45;5;Bartlein et al. (2011);;;;-16,1704;-11,6296;-13,9;-6,1223;-1;-13,9;1;7,3159584;9,920833;8,3681473;6,9580006;8,0999998;8,0999998;9,2269997;;;;;;175
120;0;120;-1;unknown;47;7;Bartlein et al. (2011);;;;-12,9837;-9,6163;-11,3;-6,7114;-1;-11,3;1;4,9838942;7,216667;4,953101;3,05;5,9999998;4,4999998;6,6270001;;;;;;423
